,AccountId,amount_min,amount_max,amount_mean,start_year,latest_year,first_month,avg_month,latest_month,amount_total,non_zero_counts,this_year_non_zero_counts,this_year_amount_total,this_year_amount_mean,prev_year_non_zero_counts,prev_year_amount_total,prev_year_amount_mean,account_age,dormancy_years,average_total_donation,average_time_between_donation,amount_total_percentiles,non_zero_counts_percentiles,dormancy_years_percentiles,persona,group
0,ACqSefygkjGVDOmAwPMZljZDPcXxqSjpZUQXJkqh,63268.22,63268.22,63268.22,2024,2024,5,5.0,5,63268.22,1,1.0,63268.22,63268.22,,,,1,1,63268.22,1.0,0.5857461024498887,0.4510022271714922,0.26447661469933187,Ryan,Red
1,ADRXPDYzthkPbJGDJphqLzFTbKwvUfFjbFcxaBfi,57566.68,57566.68,57566.68,2025,2025,4,4.0,4,57566.68,1,,,,,,,0,0,inf,inf,0.532293986636971,0.4510022271714922,0.10523385300668152,Ryan,Red
2,ADUmasYVRNjwTwNvWDzuQEOBKWWGcKXYZTOPoJks,45056.08,62049.17,53552.625,2021,2025,5,5.5,6,107105.25,2,,,,,,,4,0,26776.3125,0.5,0.955456570155902,0.9454342984409799,0.10523385300668152,Gary,Gold
3,AETPLIbREdpQjJXZaaXoqVnDleRCMyjkdpJeTBmX,60970.91,60970.91,60970.91,2022,2022,12,12.0,12,60970.91,1,,,,,,,3,3,20323.63666666667,0.3333333333333333,0.5634743875278396,0.4510022271714922,0.5662583518930958,Beth,Blue
4,AJkuvRXDYGxDvyRlGPyhMTrxQWHzCunlNGRsutQp,21210.41,21210.41,21210.41,2021,2021,8,8.0,8,21210.41,1,,,,,,,4,4,5302.6025,0.25,0.17371937639198218,0.4510022271714922,0.7065701559020044,Beth,Blue
5,ALuNJHcNCuKuCyIlKBYBMeHDRITkHGsLblWFPcTR,17593.11,17593.11,17593.11,2023,2023,7,7.0,7,17593.11,1,,,,1.0,17593.11,17593.11,2,2,8796.555,0.5,0.133630289532294,0.4510022271714922,0.41648106904231624,Ryan,Red
6,ANngijlbJKxfqEnOAXNxRbNYbaiCmqVaZywgxfQB,94074.56,94074.56,94074.56,2023,2023,6,6.0,6,94074.56,1,,,,1.0,94074.56,94074.56,2,2,47037.28,0.5,0.8775055679287305,0.4510022271714922,0.41648106904231624,Ryan,Red
7,AOgmqNBPLoAxzTAiAIVTZAsSZNUMYEWRpuOhtkry,17873.68,17873.68,17873.68,2019,2019,6,6.0,6,17873.68,1,,,,,,,6,6,2978.9466666666667,0.16666666666666666,0.1358574610244989,0.4510022271714922,0.9548997772828508,Beth,Blue
8,APjmFZXVikydeqPgzhRdKhidwAtuOlOztfITIskt,25137.98,25137.98,25137.98,2024,2024,3,3.0,3,25137.98,1,1.0,25137.98,25137.98,,,,1,1,25137.98,1.0,0.21492204899777284,0.4510022271714922,0.26447661469933187,Ryan,Red
9,AeUvBtxfizocWXgvuvLMxNBEdNIITEjsXCXfTmwG,37761.67,37761.67,37761.67,2024,2024,7,7.0,7,37761.67,1,1.0,37761.67,37761.67,,,,1,1,37761.67,1.0,0.3351893095768374,0.4510022271714922,0.26447661469933187,Ryan,Red
10,AecYeMZyDZlJpACOvPOeeUNqdfRyxMlTeDfrNBXg,1445.28,1445.28,1445.28,2025,2025,6,6.0,6,1445.28,1,,,,,,,0,0,inf,inf,0.012249443207126948,0.4510022271714922,0.10523385300668152,Ryan,Red
11,AexyAYqyGgDsBTtkqmxLehnTMVurIwtTOzzMwzIF,93445.25,93445.25,93445.25,2022,2022,11,11.0,11,93445.25,1,,,,,,,3,3,31148.416666666668,0.3333333333333333,0.8697104677060133,0.4510022271714922,0.5662583518930958,Beth,Blue
12,ApZytOTVoxOlixStpobQffZUKsRWGAkZBIdrjzgc,66407.68,66407.68,66407.68,2019,2019,4,4.0,4,66407.68,1,,,,,,,6,6,11067.946666666665,0.16666666666666666,0.6191536748329621,0.4510022271714922,0.9548997772828508,Beth,Blue
13,ArYZODnSDjaQfauenmtgWWzmWUigSiIpoMmGKvTz,95150.95,95150.95,95150.95,2020,2020,8,8.0,8,95150.95,1,,,,,,,5,5,19030.19,0.2,0.8942093541202673,0.4510022271714922,0.839086859688196,Beth,Blue
