,Unnamed: 0,npo02__LastCloseDate__c,npo02__FirstCloseDate__c,AccountNumber,Id,npo02__LastOppAmount__c,npo02__OppAmountThisYear__c,npo02__OppAmountLastYear__c,npo02__TotalOppAmount__c,npo02__OppAmount2YearsAgo__c,npo02__NumberOfClosedOpps__c,npo02__LargestAmount__c,npo02__SmallestAmount__c,npo02__AverageAmount__c,Total_Gifts_This_Year_as_of_Last_Year__c,Account Record Type,First_Gift_Year__c,Last_Close_Month,AccountId,amount_min,amount_max,amount_mean,start_year,latest_year,first_month,avg_month,latest_month,amount_total,non_zero_counts,this_year_non_zero_counts,this_year_amount_total,this_year_amount_mean,prev_year_non_zero_counts,prev_year_amount_total,prev_year_amount_mean,account_age,dormancy_years,average_total_donation,average_time_between_donation,amount_total_percentiles,non_zero_counts_percentiles,dormancy_years_percentiles,persona,group
0,0,2025-08-31,2025-07-21,muYxmJWQkREDYocXaZmawIpicZnVoUhqRrxvnwJc,tIwzrpsAXUqKLaNTkLshBpHIWHXaIvqViLctGcDp,46535.82,87341.56,98438.15,88732.55,42384.26,17220.72,82684.87,45600.95,40348.22,71.51,temple,2025,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2024-02-15,2024-06-15,hZUOgyDqXemmhXGfzxRWXCuQUQEfOmuVQPtqwcEG,fHdLwhuuOLAQJDqnvnRSsJFUaOeXGxnSMreKFqLR,37235.51,77289.36,61333.23,20417.09,12919.71,19070.52,77284.35,76415.17,1368.88,17.95,zucchini,2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2023-07-23,2023-10-14,MtUZURXewTEyzFwCUashOAriCoJNCLsnjPAFbDAW,osYumAyUdFaXZuqexNAvwcsRCynYEzGrTgVvvOIr,54943.78,60850.3,25508.5,94680.31,84336.3,90856.33,52559.69,55514.47,19897.51,88.4,Family Church,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2025-05-21,2024-07-01,TSsgPYFCpkKpUBXtIJLdYzXiisyXZyqablaWpQNZ,qlkaqWKAAarVFftEGmvTLwSsLygSzkDNfKYJXoaI,47872.57,25509.55,72108.91,3309.16,66358.31,83792.39,13842.02,37161.9,3689.61,34.46,Family Church,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2023-05-13,2024-04-29,NghRwzIPFxvajLUFjiWEmwczVpbkIsJFShhnNLmq,umtFgmPdjKXPABTAdTYlyXBqomTWKLfiDGEHRHkX,86332.37,54241.25,76273.71,2630.89,73518.43,90560.74,78293.93,89832.96,99236.06,6.13,religious institution,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2023-12-01,2023-08-23,qDgEvodPlFMYBMBZzWvuzKahLtxzJrqOUAjYaQfT,XOThmnWWvUMfcwLfwmCZtBxjjzukwSmcAFBazQBO,62587.65,13732.34,45001.59,47084.86,21553.56,15082.55,8393.66,47933.29,37007.34,47.54,Family,2023,12,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2025-10-27,2024-06-01,ndDNPoAYYJhayQmHYTuPewwydBNOdcncqoFKsEke,JXNzXSEmLRtFVlENgkFLdpMDXvGqanTlJclqWzKM,59068.5,17759.74,65469.63,52867.59,23806.87,66064.58,6212.44,83065.47,3888.16,98.06,yellow passion fruit,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2026-01-28,2023-04-09,IQqEsyCmlkmYfNRetwUFVMJoPOFNNVkeXHHpwcoN,eEiqVukeBUomOAOPQfOCahHYTvfxCLOiCZyRZkGj,46410.32,21908.66,48200.47,85969.06,47993.77,72970.84,26851.81,78119.65,44902.12,36.08,Family,2023,1,eEiqVukeBUomOAOPQfOCahHYTvfxCLOiCZyRZkGj,86752.42,86752.42,86752.42,2021.0,2021.0,6.0,6.0,6.0,86752.42,1.0,,,,,,,4.0,4.0,21688.105,0.25,0.8207126948775055,0.4510022271714922,0.7065701559020044,Laura,Purple
8,8,2025-04-18,2023-11-02,KGbbnfXZVfiFFKkqCJNInTMLboNgDkaQAcfZHdpy,kMZqMpUowupryLqwUhUThJmfsEPFJcACqRdvospw,72052.34,47578.74,14508.0,60830.14,60338.43,90683.07,23385.05,36836.97,42822.27,96.75,Family Church,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2023-07-07,2024-02-28,VCFHiNSEntDlDURcUhJFLUgpOxpnbENkQCFmVXhR,CmrRgUJQsMBtPsSQygfLBohdIimwMLKNdLakuSFx,3640.41,18323.9,55305.26,67585.03,4124.76,52955.4,94159.79,17095.46,97111.78,99.99,Family,2024,7,CmrRgUJQsMBtPsSQygfLBohdIimwMLKNdLakuSFx,21653.84,21653.84,21653.84,2021.0,2021.0,2.0,2.0,2.0,21653.84,1.0,,,,,,,4.0,4.0,5413.46,0.25,0.17706013363028952,0.4510022271714922,0.7065701559020044,Beth,Red
